column;scope;data_type;max_len;group;used_by_script;confidence;meaning
dnpv;только B1A;nvarchar;34;метрики;;неизвестно;назначение не установлено
ind_sign;только B1A;nvarchar;600;заёмщик;;гипотеза Г4;признак индивидуальной значимости займа
portfolio;B1A+B1B;nvarchar;500;продукт;да;проверено;внутренний продуктовый портфель, 25 значений
ltv;B1A+B1B;nvarchar;600;обеспечение;;очевидно;loan-to-value
lgd;B1A+B1B;nvarchar;600;метрики;да;проверено;доля потерь при дефолте
pd_c12;B1A+B1B;nvarchar;600;метрики;да;проверено;PD на горизонте 12 месяцев
pd_cl;B1A+B1B;nvarchar;600;метрики;да;проверено;PD на всём сроке актива (lifetime)
pd_ol;B1A+B1B;nvarchar;600;метрики;частично;неизвестно;"назначение не установлено; заглушки весят 5,47 %"
stage_b;B1A+B1B;nvarchar;600;стадии;да;проверено;"стадия обесценения по балансу; коды 1,2,3,4 и заглушка"
ead;B1A+B1B;nvarchar;600;метрики;да;проверено;задолженность под риском
provisions;B1A+B1B;nvarchar;600;метрики;да;проверено;провизии
rwa_base_1;B1A+B1B;nvarchar;600;RWA;;гипотеза Г18;базы для расчёта RWA по стадиям
rwa_base_2;только B1A;nvarchar;600;RWA;;гипотеза Г18;базы для расчёта RWA по стадиям
rwa_base_3;B1A+B1B;nvarchar;600;RWA;;гипотеза Г18;базы для расчёта RWA по стадиям
rwa_group;только B1A;nvarchar;600;RWA;;гипотеза Г19;группы взвешивания балансовых и внебалансовых
rwa_subgroup;B1A+B1B;nvarchar;600;RWA;;гипотеза Г19;группы взвешивания балансовых и внебалансовых
rwa_group_off;B1A+B1B;nvarchar;600;RWA;;гипотеза Г19;группы взвешивания балансовых и внебалансовых
rwa_d1;B1A+B1B;nvarchar;600;RWA;;гипотеза Г20;степени риска
rwa_d2;только B1A;nvarchar;600;RWA;;гипотеза Г20;степени риска
rwa_d3;B1A+B1B;nvarchar;600;RWA;;гипотеза Г20;степени риска
rwa1;B1A+B1B;nvarchar;600;RWA;;гипотеза Г21;RWA по стадиям и итого
rwa2;только B1A;nvarchar;600;RWA;;гипотеза Г21;RWA по стадиям и итого
rwa3;B1A+B1B;nvarchar;600;RWA;;гипотеза Г21;RWA по стадиям и итого
rwa_total;B1A+B1B;nvarchar;600;RWA;;гипотеза Г21;RWA по стадиям и итого
nps_prov;B1A+B1B;nvarchar;500;учёт;;гипотеза Г22;провизии по НПС
prov_rate;B1A+B1B;nvarchar;600;учёт;;гипотеза Г23;ставка провизий
privedennaya_st;B1A+B1B;nvarchar;500;метрики;;гипотеза Г11;приведённая стоимость
obezcenenia;B1A+B1B;nvarchar;500;стадии;;гипотеза Г10;признак обесценения
uvelich_kr_riska;B1A+B1B;nvarchar;500;стадии;;гипотеза Г9;признак значительного увеличения кредитного риска (SICR)
stadia_kr_riska;B1A+B1B;nvarchar;500;стадии;;неизвестно;стадия кредитного риска — вторая колонка стадии
pd0_12m;B1A+B1B;nvarchar;600;метрики;;неизвестно;PD 12м и на срок — версия с индексом 0
pd0_srok;B1A+B1B;nvarchar;600;метрики;;неизвестно;PD 12м и на срок — версия с индексом 0
pd_12m;B1A+B1B;nvarchar;600;метрики;;неизвестно;PD 12м и на срок — вторая версия
pd_srok;B1A+B1B;nvarchar;600;метрики;;неизвестно;PD 12м и на срок — вторая версия
trebovania_k_def_zaimu;B1A+B1B;nvarchar;600;стадии;;гипотеза Г12;требования к дефолтному займу
vn_reiting;B1A+B1B;nvarchar;500;рейтинг;;гипотеза Г16;внутренний рейтинг заёмщика
kateg_vzveshivania;B1A+B1B;nvarchar;500;RWA;;гипотеза Г17;категория взвешивания
koef_konverciy;B1A+B1B;nvarchar;600;метрики;;неизвестно;коэффициент конверсии — третья колонка того же смысла
kdn;B1A+B1B;nvarchar;600;заёмщик;;гипотеза Г15;коэффициент долговой нагрузки и его дата
date_kdn;B1A+B1B;nvarchar;600;заёмщик;;гипотеза Г15;коэффициент долговой нагрузки и его дата
contract_number;B1A+B1B;nvarchar;100/600;PII;;очевидно;номер договора и счёта
operation_date;B1A+B1B;nvarchar;600;служебные;;гипотеза Г25;тип документа и дата операции
creditor_no;B1A+B1B;nvarchar;300;заёмщик;;гипотеза Г3;внутренний номер контрагента
fil_code;B1A+B1B;nvarchar;40;служебные;;очевидно;код филиала и подразделения
doc_type_nb_id;B1A+B1B;nvarchar;20;служебные;;гипотеза Г25;тип документа и дата операции
name;B1A+B1B;nvarchar;4000;PII;;очевидно;наименование или ФИО заёмщика
cl_type;B1A+B1B;nvarchar;400;продукт;;очевидно;тип кредитной линии
account_no;B1A+B1B;nvarchar;100/500;PII;;очевидно;номер договора и счёта
kod_podrazdelenia;B1A+B1B;nvarchar;500;служебные;;очевидно;код филиала и подразделения
datatype;B1A+B1B;nvarchar;600;служебные;;гипотеза Г26;технические поля источника загрузки
source_system;B1A+B1B;nvarchar;300/600;служебные;;гипотеза Г26;технические поля источника загрузки
ef_batches_int_id;B1A+B1B;nvarchar;600;служебные;;гипотеза Г26;технические поля источника загрузки
ef_contract_id;B1A+B1B;nvarchar;600;служебные;;гипотеза Г26;технические поля источника загрузки
nps_1400;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_1424;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_1740;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_1741;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_6000;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_6000_dop;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_1430;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_1434;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
nps_1434_dop;B1A+B1B;nvarchar;500;учёт;;гипотеза Г24;остатки по балансовым счетам НПС
ccf_rwa;B1A+B1B;nvarchar;600;метрики;;гипотеза Г8;CCF для целей RWA — отдельный от ccf
is_del;B1A+B1B;nvarchar;1;служебные;да;проверено;"признак удаления; фильтр расчёта is_del = '0'"
limit;только B1B;nvarchar;600;суммы;;очевидно;"лимит кредитной линии; имя — зарезервированное слово T-SQL"
lgd_;только B1B;nvarchar;600;метрики;;неизвестно;"вторая колонка LGD, только в B1B; назначение не установлено"
limit_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль limit в другом масштабе, только в B1B
offbal_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль offbal в другом масштабе, только в B1B
correction_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль correction в другом масштабе, только в B1B
disc_prem_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль disc_prem в другом масштабе, только в B1B
penalty_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль penalty в другом масштабе, только в B1B
ptp_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль ptp в другом масштабе, только в B1B
ead_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль ead в другом масштабе, только в B1B
provisions_1000;только B1B;nvarchar;600;суммы;;неизвестно;дубль provisions в другом масштабе, только в B1B
ead_n;производная;float;;вычисляемые;да;проверено;ead приведён к float скриптом
amount;производная;float;;вычисляемые;да;проверено;база задолженности, считается скриптом
stage;производная;nvarchar;;вычисляемые;да;проверено;стадия после приведения 4→3 и заглушки→1
segment_afr;производная;varchar;;вычисляемые;да;проверено;код сегмента НСТ
