source_id;source_kind;title;registry_group;status;version;official_url;analysis_refs;details;verified_clause_count;coverage_status;registry_locator;confidentiality
KZ-NBRK-052;НПА РК;Постановление № 52;1. Казахстан — подзаконные акты;действует;—;https://adilet.zan.kz/rus/docs/V2500036722;;Реквизиты: Постановление Правления НБ РК от 25.08.2025 № 52 — макропруденциальные нормативы и лимиты | Регистрация: Минюст № 36722 от 28.08.2025, введено с 31.08.2025 | Заменил / заменён: —;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:109;public_or_licensed_reference
KZ-NBRK-003;НПА РК;Типовой план счетов;1. Казахстан — подзаконные акты;действует;"ред. постановления Правления НБ РК от 24.12.2025 № 105, вводится в действие с 01.01.2026; прочитано в оригинале 10.09.2026";https://adilet.zan.kz/rus/docs/V1100006793;;"Реквизиты: Постановление Правления НБ РК от 31.01.2011 № 3 — Типовой план счетов бухгалтерского учёта в банках второго уровня, ипотечных организациях, АО «Банк Развития Казахстана» и филиалах банков-нерезидентов РК. Семь классов; 1 159 счетов. Первая цифра — класс, вторая и третья — группа, четвёртая — детализация (п. 6) | Регистрация: Минюст № 6793 от 28.02.2011 | Заменил / заменён: —";20;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:110;public_or_licensed_reference
KZ-NBRK-075;НПА РК;Постановление № 75;1. Казахстан — подзаконные акты;отменено;"последняя ред. — постановление Правления НБ РК от 24.12.2024 № 79, действовала с 01.01.2025; утратило силу с 11.01.2026";https://adilet.zan.kz/rus/docs/V1500011162;;Реквизиты: Постановление Правления НБ РК от 08.05.2015 № 75 — перечень, формы, сроки и Правила представления отчётности о выполнении пруденциальных нормативов банками второго уровня | Регистрация: Минюст № 11162 от 25.05.2015 | Заменил / заменён: заменено KZ-NBRK-100;2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:111;public_or_licensed_reference
KZ-NBRK-100;НПА РК;Правила № 100;1. Казахстан — подзаконные акты;действует;первая редакция;https://adilet.zan.kz/rus/docs/V2500037679;;"Реквизиты: Постановление Правления НБ РК от 24.12.2025 № 100 — Правила представления отчётности о выполнении пруденциальных нормативов банками второго уровня, филиалами банков-нерезидентов РК (включая филиалы исламских банков-нерезидентов) и банковскими конгломератами | Регистрация: Минюст № 37679 от 25.12.2025; официально опубликовано в ЭКБ НПА РК 31.12.2025; действует с 11.01.2026 | Заменил / заменён: заменило KZ-NBRK-075, № 23 от 02.03.2021 и № 258 от 27.12.2019; полный перечень отменённых актов — приложение к № 100";2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:112;public_or_licensed_reference
KZ-ARRFR-119;НПА РК;Признаки ухудшения № 119;1. Казахстан — подзаконные акты;действует;первая редакция;https://adilet.zan.kz/rus/docs/V2600039529;;"Реквизиты: Постановление Правления АРРФР от 07.08.2026 № 119 — значения финансово-экономических и иных признаков ухудшения финансовой устойчивости банка и филиала банка-нерезидента РК | Регистрация: Минюст № 39529 от 10.08.2026; официально опубликовано в ЭКБ НПА РК 12.08.2026; действует с 23.08.2026 | Заменил / заменён: —";3;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:113;public_or_licensed_reference
KZ-ZAKON-258;НПА РК;Закон о банках и банковской деятельности;2. Казахстан — законы;действует;изменён Законом KZ-ZAKON-306;https://adilet.zan.kz/rus/docs/Z2600000258;;Реквизиты: Закон РК от 16.01.2026 № 258-VIII — «О банках и банковской деятельности в Республике Казахстан». В силе с 19.03.2026. Разобраны: ст. 61 (порядок урегулирования задолженности физлица — сроки 10, 30 и 15 дней, перечень предложений заёмщика), ст. 72, ст. 78–81, ст. 85, ст. 87–92, раздел 6 — лестница мер надзорного реагирования | Регистрация: — | Заменил / заменён: —;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:119;public_or_licensed_reference
KZ-ZAKON-BANKI;НПА РК;↳ дубль KZ-ZAKON-258;2. Казахстан — законы;дубль;—;;;Реквизиты: Строка заведена как отдельный акт по ст. 61, но это тот же Закон о банках. Сохранена как след: на неё ссылается dpd15_cure. Слияние — решение автора, см. «Что в реестре пока отсутствует» | Регистрация: — | Заменил / заменён: тот же акт, что KZ-ZAKON-258;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:120;public_or_licensed_reference
KZ-ZAKON-306;НПА РК;Закон № 306-VIII;2. Казахстан — законы;действует;—;https://adilet.zan.kz/rus/docs/Z2600000306;;Реквизиты: Закон РК от 11.06.2026 № 306-VIII ЗРК — о приведении законодательных актов в соответствие с Конституцией РК, совершенствовании законодательства о выборах, прокуратуре и социальном обеспечении. Банковский блок — п. 77 ст. 1 | Регистрация: — | Заменил / заменён: изменяет KZ-ZAKON-258;3;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:121;public_or_licensed_reference
IFRS-9;международный стандарт;МСФО (IFRS) 9;3. Международные стандарты;действует;—;;;Реквизиты: Финансовые инструменты. Прочитан по официальному тексту стандарта | Регистрация: — | Заменил / заменён: —;6;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:127;public_or_licensed_reference
US-OCC-30D;зарубежный ориентир;OCC Heightened Standards;4. Зарубежные режимы — читались для сопоставления;действует;—;;;Реквизиты: США, 12 CFR ч. 30, приложение D | Регистрация: — | Заменил / заменён: —;4;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:133;public_or_licensed_reference
HK-CRG8;зарубежный ориентир;HKMA SPM CR-G-8;4. Зарубежные режимы — читались для сопоставления;действует;V.5 от 19.12.2025;;;Реквизиты: Гонконг, Large Exposures and Risk Concentrations | Регистрация: — | Заменил / заменён: —;3;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:134;public_or_licensed_reference
HK-IC1;зарубежный ориентир;HKMA SPM IC-1;4. Зарубежные режимы — читались для сопоставления;действует;V.3 от 06.10.2017;;;Реквизиты: Гонконг, Risk Management Framework | Регистрация: — | Заменил / заменён: —;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:135;public_or_licensed_reference
HK-IC5;зарубежный ориентир;HKMA SPM IC-5;4. Зарубежные режимы — читались для сопоставления;действует;V.3 от 13.04.2026;;;Реквизиты: Гонконг, Stress-testing | Регистрация: — | Заменил / заменён: —;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:136;public_or_licensed_reference
SG-BSM;зарубежный ориентир;MAS Guidelines on Risk Management Practices — Board and Senior Management;4. Зарубежные режимы — читались для сопоставления;действует;июль 2021;;;Реквизиты: Сингапур | Регистрация: — | Заменил / заменён: —;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:137;public_or_licensed_reference
SG-CR;зарубежный ориентир;MAS Guidelines on Risk Management Practices — Credit Risk;4. Зарубежные режимы — читались для сопоставления;действует;—;;;Реквизиты: Сингапур | Регистрация: — | Заменил / заменён: —;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:138;public_or_licensed_reference
UK-SS3115;зарубежный ориентир;PRA SS31/15;4. Зарубежные режимы — читались для сопоставления;действует;октябрь 2025;;;Реквизиты: Великобритания, The ICAAP and the SREP | Регистрация: — | Заменил / заменён: —;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:139;public_or_licensed_reference
RU-3624U;зарубежный ориентир;Указание Банка России № 3624-У;4. Зарубежные режимы — читались для сопоставления;действует;—;;;Реквизиты: Россия, от 15.04.2015 — требования к системе управления рисками и капиталом | Регистрация: — | Заменил / заменён: —;2;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:140;public_or_licensed_reference
RU-220I;зарубежный ориентир;Инструкция Банка России № 220-И;4. Зарубежные режимы — читались для сопоставления;действует;—;;;Реквизиты: Россия, от 26.05.2025 — обязательные нормативы и надбавки | Регистрация: Минюст 11.07.2025 № 82895 | Заменил / заменён: заменила RU-199I;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:141;public_or_licensed_reference
RU-199I;зарубежный ориентир;Инструкция Банка России № 199-И;4. Зарубежные режимы — читались для сопоставления;отменена;—;;;Реквизиты: Россия, от 29.11.2019 | Регистрация: — | Заменил / заменён: заменена RU-220I;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:142;public_or_licensed_reference
RU-845P;зарубежный ориентир;Положение Банка России № 845-П;4. Зарубежные режимы — читались для сопоставления;действует;—;;;Реквизиты: Россия, от 02.11.2024 — расчёт кредитного риска на основе внутренних рейтингов | Регистрация: Минюст 28.12.2024 № 80878 | Заменил / заменён: заменило RU-483P;1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:143;public_or_licensed_reference
RU-483P;зарубежный ориентир;Положение Банка России № 483-П;4. Зарубежные режимы — читались для сопоставления;отменено;—;;;Реквизиты: Россия | Регистрация: — | Заменил / заменён: заменено RU-845P;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:144;public_or_licensed_reference
LTR-2026-51657;письмо регулятора;Письмо АРРФР о начале НСТ-2026;5. Входящая переписка регулятора;действует;—;;;Реквизиты: исх. № 02-2-10/51657-И от 28.08.2026, за подписью первого заместителя Председателя. Вводит: срок организационных мероприятий 04.09.2026, четыре итерации — 25.09, 16.10, 06.11, 27.11 | Регистрация: — | Заменил / заменён: —;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:154;internal_no_original_in_repository
LTR-2026-52230;письмо регулятора;Возврат Плана мероприятий SREP без согласования;5. Входящая переписка регулятора;действует;—;;;"Реквизиты: исх. № 01-7-04/52230 от 01.09.2026. Двенадцать замечаний; срок представления доработанного Плана — 08.09.2026; форма подачи: бумажный и электронный вид, сопроводительное за подписью Председателя Правления, протокол УО об утверждении. Основание срока — п. 12 ст. 15-5 Закона о госрегулировании финансового рынка | Регистрация: — | Заменил / заменён: разбирается в srep_action_plan";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:155;internal_no_original_in_repository
LTR-2026-39406;письмо регулятора;Рекомендательная мера надзорного реагирования;5. Входящая переписка регулятора;действует;—;;;Реквизиты: исх. № 01-7-04/39406 от 30.06.2026. Рекомендации, под которые составлен План мероприятий SREP | Регистрация: — | Заменил / заменён: —;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:156;internal_no_original_in_repository
LTR-2026-38933;письмо регулятора;Рекомендательная мера надзорного реагирования;5. Входящая переписка регулятора;действует;—;;;Реквизиты: исх. № 01-7-04/38933 от 26.06.2026. Требует отражать в выписках из протоколов УКО порученческие пункты об участии СД в стратегии и бюджете (замечание З-10) | Регистрация: — | Заменил / заменён: —;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:157;internal_no_original_in_repository
LTR-2025-39377;письмо регулятора;Письмо АРРФР;5. Входящая переписка регулятора;к сверке;—;;;Реквизиты: исх. № 02-2-11/39377-И от 31.07.2025 | Регистрация: — | Заменил / заменён: реквизиты есть, предмет в реестр не переносился;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:158;internal_no_original_in_repository
VND-01;ВНД;Стратегия риск-аппетита;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;risk_appetite/DOCUMENT_MAP.md;"Владелец — кто ведёт и правит: БРМ — разработчик; утверждает СД (протокол № 6 от 03.02.2021, действующая редакция — протокол № 121 от 29.12.2023) | Где брать действующую редакцию: ? — проверить каталог R:\Risk_Appetite\!!!ВНД_РИСК_АППЕТИТ\";4;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:181;internal_no_original_in_repository
VND-02;ВНД;Политика определения аппетита к риску, Приложения № 3 и № 4;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;risk_appetite/;"Владелец — кто ведёт и правит: БРМ — по таблице Плана SREP объект «корректировка риск-аппетита» закреплён за БРМ (п. 45); утверждает СД (протокол № 109 от 08.10.2015, пятая редакция — протокол № 121 от 29.12.2023) | Где брать действующую редакцию: R:\Risk_Appetite\!!!ВНД_РИСК_АППЕТИТ\Политика риск аппетит\ — проверено только для Приложения № 3, сам текст Политики оттуда не брался";9;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:182;internal_no_original_in_repository
VND-03;ВНД;Методика определения и расчёта агрегированных уровней риск-аппетита, Приложения № 1 и № 2;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;risk_appetite/;"Владелец — кто ведёт и правит: БРМ; утверждает СД (протокол № 33 от 16.06.2021; редакции — протокол № 5 от 25.01.2023 и действующая № 121 от 29.12.2023) | Где брать действующую редакцию: ?";7;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:183;internal_no_original_in_repository
VND-04;ВНД;Методика проведения стресс-тестирования от 21.09.2022, Приложения № 1–7;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;risk_appetite/FINDINGS_RA.md, блок МС;Владелец — кто ведёт и правит: БРМ, владелец модели стресс-тестирования (мероприятие 6 плана СВА не зависит от другого подразделения) | Где брать действующую редакцию: ?;7;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:184;internal_no_original_in_repository
VND-05;ВНД;"Методика расчёта провизий (резервов) в соответствии с МСФО — протокол Правления № 52/25 от 13.07.2018, редакция 21.02.2024; Приложения 1–22, из них разобраны 2, 2.1–2.7, 4, 4.1–4.8";6. Внутренние документы Банка — только реквизитами;не указан;не указана;;"provisions_method/ — вычислительное ядро; dpd15_cure/ — Приложение 4 п. 5, оздоровление";Владелец — кто ведёт и правит: ? — утверждена Правлением, разработчик в реестре не зафиксирован | Где брать действующую редакцию: ? — комплект 73 файла прочитан по разовой передаче, постоянного адреса нет;15;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:185;internal_no_original_in_repository
VND-13;ВНД;"Методика расчёта пруденциальных (регуляторных) провизий (резервов) — протокол Правления № 42-02 от 31.03.2021, редакция 13.05.2025 (изм. № 73-02); Приложения 1–3.3. Отдельный документ от VND-05: признаётся большая из двух величин (п. 6)";6. Внутренние документы Банка — только реквизитами;не указан;не указана;;provisions_method/ § 4;Владелец — кто ведёт и правит: ? — утверждена Правлением | Где брать действующую редакцию: ? — то же, что VND-05;7;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:186;internal_no_original_in_repository
VND-06;ВНД;"План мероприятий по устранению недостатков, выявленных аудиторской проверкой процессов и процедур управления кредитным риском (СВА). Пять пунктов; п. 3 — основание контура риск-аппетита и сроков 30.09 / 31.12.2026";6. Внутренние документы Банка — только реквизитами;не указан;не указана;;risk_appetite/, srep_action_plan/;"Владелец — кто ведёт и правит: ? — недостатки выявлены СВА, исполнение пп. 3 и 6 у БРМ; кто ведёт сам План — не установлено | Где брать действующую редакцию: ?";1;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:187;internal_no_original_in_repository
VND-07;ВНД;План мероприятий по результатам SREP 2023–2024, 49 пунктов (в реестре до 04.09.2026 стояло 47 — исправлено по пересчёту контура);6. Внутренние документы Банка — только реквизитами;не указан;не указана;;srep_action_plan/;"Владелец — кто ведёт и правит: БРМ по 37 пунктам из 49 (контролирующее лицо — управляющий директор БРМ); подача наружу — за подписью Председателя Правления (LTR-2026-52230) | Где брать действующую редакцию: ? — актуальна редакция, дорабатываемая к 08.09.2026 после возврата LTR-2026-52230";5;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:188;internal_no_original_in_repository
VND-08;ВНД;Правила бюджетирования от 11.02.2026, с изменениями;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;srep_action_plan/ (пп. 22, 45);"Владелец — кто ведёт и правит: нач. управления бизнес-планирования и оперативного контроллинга ФД; контроль — директор ФД (п. 22 таблицы Плана) | Где брать действующую редакцию: ?";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:189;internal_no_original_in_repository
VND-09;ВНД;Политика управления капиталом от 22.04.2026;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;srep_action_plan/ (пп. 39, 41, 43);"Владелец — кто ведёт и правит: вне БРМ; по пп. 39, 41, 43 контролирующее лицо — директор ФД | Где брать действующую редакцию: выписка СД № 26 от 22.04.2026 есть в контуре; сам текст Политики — ?";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:190;internal_no_original_in_repository
VND-10;ВНД;Инструкция по формированию управленческой отчётности от 13.05.2025, с изменениями от 18.02.2026 и 13.05.2026;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;srep_action_plan/ (пп. 21, 42, 43);"Владелец — кто ведёт и правит: нач. отдела ALM Управления ALM ФБ; контроль — исполнительный директор ALM (п. 42 таблицы Плана) | Где брать действующую редакцию: утверждена СД № 33-6 от 13.05.2026; адрес редакции — ?";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:191;internal_no_original_in_repository
VND-11;ВНД;План финансирования капитала при возникновении непредвиденных обстоятельств;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;srep_action_plan/ (п. 45);Владелец — кто ведёт и правит: тот же ALM, что VND-10 (п. 45: «План финансирования» отнесён к ALM) | Где брать действующую редакцию: ?;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:192;internal_no_original_in_repository
VND-12;ВНД;Стратегия развития Банка на 2025–2027 годы;6. Внутренние документы Банка — только реквизитами;не указан;не указана;;srep_action_plan/ — ответ-ссылка по 13 пунктам;Владелец — кто ведёт и правит: вне БРМ — в таблице Плана прямо стоит «уточнить» | Где брать действующую редакцию: ?;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:193;internal_no_original_in_repository
NST-2026-MR;методические материалы регулятора;Методологическое руководство для банков;7. Методические материалы регулятора — НСТ;действует;получено 03.09.2026;;;"Реквизиты: АРРФР, 2026, 90 стр. Глава 2 «Кредитный риск» стр. 19–40; Таблицы 3–4 стр. 14–16; глава 7 «Совокупный эффект на капитал» стр. 83–87 | Регистрация: — | Заменил / заменён: цикл 2026; предыдущий цикл — NST-2025-MR, не отменён";13;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:228;internal_no_original_in_repository
NST-2026-INS;методические материалы регулятора;Инструкция к шаблону НСТ для банков;7. Методические материалы регулятора — НСТ;действует;получено 03.09.2026;;;"Реквизиты: АРРФР, 2026, 73 стр. Глава 2 стр. 9–21: пять листов кредитного риска и перечни полей (Таблицы 2–6); п. 15 стр. 8 — конфиденциальность | Регистрация: — | Заменил / заменён: цикл 2026; предыдущий цикл — NST-2025-INS, не отменена";14;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:229;internal_no_original_in_repository
NST-2026-EDU;методические материалы регулятора;Обучающие материалы НСТ;7. Методические материалы регулятора — НСТ;действует;получено 03.09.2026;;;"Реквизиты: АРРФР, август 2026, 94 стр. Кредитный риск — стр. 3–17 | Регистрация: — | Заменил / заменён: цикл 2026; предыдущий цикл — NST-2025-EDU";7;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:230;internal_no_original_in_repository
NST-2026-SCN;методические материалы регулятора;Макрофинансовые сценарии НСТ;7. Методические материалы регулятора — НСТ;действует;получено 03.09.2026;;;"Реквизиты: 33 стр., одобрены 28.07.2026 (стр. 5). 59 показателей поквартально 2026–2028, базовый и стрессовый; мгновенные шоки — Таблица 5 стр. 21 | Регистрация: — | Заменил / заменён: аналога цикла 2025 в комплекте нет";3;CLAUSE_INDEXED;docs/analysis/npa_registry/REGISTRY.md:231;internal_no_original_in_repository
NST-2026-P1;методические материалы регулятора;Приложение 1 к Инструкции — «Соотнесение сегментации НСТ и статей 700-Н.xlsx»;7. Методические материалы регулятора — НСТ;действует;получено 03.09.2026;;;"Реквизиты: 2 листа: 953 и 336 строк. Статья 700-Н → строка баланса/ОСД НСТ, два уровня; отдельный лист — соотнесение для операционного риска | Регистрация: — | Заменил / заменён: аналога цикла 2025 в комплекте нет";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:232;internal_no_original_in_repository
NST-2025-MR;методические материалы регулятора;Методологическое руководство для банков;7. Методические материалы регулятора — НСТ;предыдущий цикл;—;;;"Реквизиты: АРРФР, 2025, 84 стр. Таблица 3 — периметр; Таблица 4 — критерии; Таблица 5 стр. 61 — референсные ставки ЧПД | Регистрация: — | Заменил / заменён: в оригинале в этом цикле не открывалось: сверка велась по конспекту (nst_credit, 15.2)";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:233;internal_no_original_in_repository
NST-2025-INS;методические материалы регулятора;Инструкция к шаблону НСТ для банков;7. Методические материалы регулятора — НСТ;предыдущий цикл;—;;;"Реквизиты: АРРФР, 2025, 65 стр. Состав листов; п. 6 — перечень форм регуляторной отчётности | Регистрация: — | Заменил / заменён: сверено с NST-2026-INS по п. 6 (nst_credit, 15.2)";0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:234;internal_no_original_in_repository
NST-2025-EDU;методические материалы регулятора;Обучающие материалы НСТ;7. Методические материалы регулятора — НСТ;предыдущий цикл;—;;;Реквизиты: АРРФР, 2025, 84 стр. | Регистрация: — | Заменил / заменён: —;0;REGISTERED_ONLY;docs/analysis/npa_registry/REGISTRY.md:235;internal_no_original_in_repository
