clause_id;source_id;locator;statement;where_cited;status;evidence_level;source_locator
KZ-ARRFR-117::П. 1;KZ-ARRFR-117;П. 1;"Изменяет Нормативы № 85: состав нормативов, отдельные определения и залоговые условия; добавляет главу 13 о минимальном размере обязательств по инструментам поглощения убытков";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:87
KZ-ARRFR-117::П. 5 постановления;KZ-ARRFR-117;П. 5 постановления;"Вводится в действие через десять календарных дней после первого официального опубликования. Публикация 12.08.2026; дата начала действия — 23.08.2026";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:88
KZ-ARRFR-086::П. 2 пп. 42;KZ-ARRFR-086;П. 2 пп. 42;Заявление риск-аппетита — утверждаемый советом директоров документ с качественными и количественными утверждениями, включая показатели доходности;risk_appetite/FINDINGS_RA.md Г16, В34;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:94
KZ-ARRFR-086::П. 16 пп. 2;KZ-ARRFR-086;П. 16 пп. 2;Учитывать доходность при установлении уровней;risk_appetite/FINDINGS_RA.md Г16;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:95
KZ-ARRFR-086::П. 16 пп. 3;KZ-ARRFR-086;П. 16 пп. 3;Учитывать все существенные риски концентрации: на клиента, валютный, страновой, сегментный;risk_appetite/FINDINGS_RA.md Г15;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:96
KZ-ARRFR-086::П. 17;KZ-ARRFR-086;П. 17;Официальная процедура определения уровней: внутренний порядок расчёта, инструментарий, ответственные лица, условия корректировки утверждённых уровней;risk_appetite/ — задача 2, вопрос В5;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:97
KZ-ARRFR-086::П. 17 пп. 4;KZ-ARRFR-086;П. 17 пп. 4;Описывать условия корректировки утверждённых уровней;risk_appetite/FINDINGS_RA.md Г14;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:98
KZ-ARRFR-086::П. 18 пп. 2;KZ-ARRFR-086;П. 18 пп. 2;Уровень, определённый как допустимый — порог внутри лимита, запускающий корректирующие меры;risk_appetite/ — весь контур;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:99
KZ-ARRFR-086::П. 18 часть 4;KZ-ARRFR-086;П. 18 часть 4;Требование сценарной оценки уровней;risk_appetite/ § 10.4;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:100
KZ-ARRFR-086::П. 18 часть 6;KZ-ARRFR-086;П. 18 часть 6;Утверждение уровней уполномоченным органом;risk_appetite/ В33;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:101
KZ-ARRFR-086::П. 34 пп. 6;KZ-ARRFR-086;П. 34 пп. 6;Индикаторы раннего предупреждения вменены БРМ прямо;risk_appetite/BENCHMARK.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:102
KZ-ARRFR-086::Методология PD-моделей;KZ-ARRFR-086;Методология PD-моделей;Обязана содержать «определение кредитного обесценения» и «калибровку на основе наблюдаемых уровней кредитного обесценения»;dpd15_cure/FINDINGS_DPD15.md Н5;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:103
KZ-ZAKON-306::П. 77 ст. 1;KZ-ZAKON-306;П. 77 ст. 1;"Семь изменений в Закон о банках от 16.01.2026. Шесть терминологических: «иностранцы» → «иностранные граждане» (ст. 1, ст. 69), «тенге» → «теңге» (ст. 94, 120, 126), «законодательными актами» → «законами» (ст. 105, 113), «Парламента» → «Курултая» (ст. 69 п. 13). Седьмое содержательное: п. 6 ст. 69 дополняется пп. 16) — предоставление уполномоченному органу в сфере социальной защиты сведений о наличии банковских счетов, их номерах и остатках; в пп. 14) «лицом, исполняющим его обязанности» заменено на «заместителем первого руководителя, курирующим работу по возврату активов»";npa_registry, npl_limits;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:111
KZ-ZAKON-306::Ст. 2 п. 1;KZ-ZAKON-306;Ст. 2 п. 1;Закон вводится в действие с 01.07.2026, кроме перечисленных исключений;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:112
KZ-ZAKON-306::Ст. 2 п. 1 пп. 4);KZ-ZAKON-306;Ст. 2 п. 1 пп. 4);Абзацы пятый и шестой пп. 2) п. 77 ст. 1 — то есть оба изменения в п. 6 ст. 69 — вводятся в действие с 01.01.2027;npa_registry, npl_limits;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:113
KZ-ARRFR-108::Преамбула;KZ-ARRFR-108;Преамбула;Издано на основании части второй пункта 4 статьи 88 Закона о банках;bank_recovery/;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:124
KZ-ARRFR-108::П. 3 постановления;KZ-ARRFR-108;П. 3 постановления;Вводится в действие по истечении десяти календарных дней после первого официального опубликования;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:125
KZ-ARRFR-119::П. 4 постановления;KZ-ARRFR-119;П. 4 постановления;"Вводится в действие по истечении десяти календарных дней после дня первого официального опубликования. Первая публикация в ЭКБ — 12.08.2026; расчётная дата вступления в силу — 23.08.2026";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:133
KZ-ARRFR-119::П. 2 пп. 2), п. 5;KZ-ARRFR-119;П. 2 пп. 2), п. 5;Отклонение одного основного показателя либо комбинации вспомогательных — основание для режима усиленного надзора или восстановления. Для режима урегулирования отдельно названы снижение нормативов капитала/ликвидности ниже минимумов и положительная сравнительная оценка жизнеспособности;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:134
KZ-ARRFR-119::П. 3;KZ-ARRFR-119;П. 3;Шесть категорий количественных показателей: капитал, кредитный риск, ликвидность, валютный риск, прибыльность и рейтинговая оценка;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:135
KZ-NBRK-075::П. 1 пп. 2), 21), 22);KZ-NBRK-075;П. 1 пп. 2), 21), 22);"Приложение 2 — форма отчёта о выполнении пруденциальных нормативов; приложение 20-1 — расшифровка LCR; приложение 20-2 — расшифровка NSFR. Тела 20-1 и 20-2 в HTML ИПС «Әділет» отсутствуют";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:141
KZ-NBRK-075::Сноска ИЗПИ;KZ-NBRK-075;Сноска ИЗПИ;Постановление утратило силу по KZ-NBRK-100, который действует по истечении десяти календарных дней после первого официального опубликования;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:142
KZ-NBRK-100::П. 2 и приложение, п. 1;KZ-NBRK-100;П. 2 и приложение, п. 1;"KZ-NBRK-075 признано утратившим силу; приложение к № 100 сохраняет точные реквизиты отменённого акта и его регистрации № 11162";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:148
KZ-NBRK-100::П. 5 постановления;KZ-NBRK-100;П. 5 постановления;"Вводится в действие по истечении десяти календарных дней после дня первого официального опубликования. Первая публикация в ЭКБ — 31.12.2025; расчётная дата вступления в силу — 11.01.2026";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:149
KZ-NBRK-003::П. 3;KZ-NBRK-003;П. 3;Семь классов: 1 активы, 2 обязательства, 3 собственный капитал, 4 доходы, 5 расходы, 6 условные и возможные требования и обязательства, 7 счета меморандума;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:158
KZ-NBRK-003::П. 5;KZ-NBRK-003;П. 5;"Счета первых трёх классов — бухгалтерский баланс; четвёртого и пятого — отчёт о прибылях и убытках";npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:159
KZ-NBRK-003::П. 6;KZ-NBRK-003;П. 6;Первая цифра — класс, вторая и третья — группа, четвёртая — детализация;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:160
KZ-NBRK-003::1401 / 1403 / 1411 / 1417;KZ-NBRK-003;1401 / 1403 / 1411 / 1417;Овердрафт · счета по кредитным карточкам · краткосрочные · долгосрочные займы клиентам — срочный основной долг в формуле витрины;risk_analytics_data_model.md, credit_risk_knowledge_base.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:161
KZ-NBRK-003::1405 / 1407 / 1420 / 1422 / 1426 / 1429;KZ-NBRK-003;1405 / 1407 / 1420 / 1422 / 1426 / 1429;Учтённые векселя · факторинг · финансовый лизинг · форфейтинг · финансирование торговой деятельности · прочие займы клиентам. В базу витрины не входят;— (пробел, см. ниже);ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:162
KZ-NBRK-003::1424;KZ-NBRK-003;1424;Просроченная задолженность клиентов по займам;risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:163
KZ-NBRK-003::1409 / 1421 / 1423 / 1425 / 1427;KZ-NBRK-003;1409 / 1421 / 1423 / 1425 / 1427;Просроченная задолженность по факторингу · финлизингу · форфейтингу · опротестованные векселя · финансирование торговой деятельности. В базу витрины не входят;— (пробел);ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:164
KZ-NBRK-003::1428;KZ-NBRK-003;1428;Резервы (провизии) по займам и финансовому лизингу, предоставленным клиентам;risk_dwh_reconciliation/FINDINGS.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:165
KZ-NBRK-003::1430 / 1431;KZ-NBRK-003;1430 / 1431;Счета положительной и отрицательной корректировки справедливой стоимости займа клиентам;risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:166
KZ-NBRK-003::1434 / 1435;KZ-NBRK-003;1434 / 1435;Дисконт и премия по займам, предоставленным клиентам. Премия — активный счёт, увеличивает балансовую стоимость;risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:167
KZ-NBRK-003::1740 / 1741;KZ-NBRK-003;1740 / 1741;Начисленные доходы и просроченное вознаграждение по займам и финансовому лизингу клиентам;risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:168
KZ-NBRK-003::1749 / 1752;KZ-NBRK-003;1749 / 1752;Прочее просроченное вознаграждение · начисленные доходы по учтённым векселям. В базу витрины не входят;— (пробел);ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:169
KZ-NBRK-003::1810–1829 / 1830–1844;KZ-NBRK-003;1810–1829 / 1830–1844;Начисленные и просроченные комиссионные доходы, восемнадцать и пятнадцать счетов. Витрина берёт только «прочие» — 1818 и 1838;risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:170
KZ-NBRK-003::1845;KZ-NBRK-003;1845;Резервы (провизии) по начисленным и просроченным комиссионным доходам — по всем счетам 1810–1844;risk_dwh_reconciliation/FINDINGS.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:171
KZ-NBRK-003::1876 / 1877 / 1878;KZ-NBRK-003;1876 / 1877 / 1878;Резервы по прочей банковской деятельности · по дебиторской задолженности, связанной с банковской деятельностью · по дебиторке неосновной деятельности. В сумме провизий контуров участвует только 1877;risk_dwh_reconciliation/FINDINGS.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:172
KZ-NBRK-003::1879;KZ-NBRK-003;1879;Начисленная неустойка (штраф, пеня);risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:173
KZ-NBRK-003::2794;KZ-NBRK-003;2794;Доходы будущих периодов — счёт второго класса, единственный счёт обязательств в формуле актива;risk_analytics_data_model.md;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:174
KZ-NBRK-003::6625 / 6626 / 6677;KZ-NBRK-003;6625 / 6626 / 6677;Условные обязательства по безотзывным · отзывным займам, предоставляемым в будущем · по предоставленным займам;— (в контурах по счетам не описано);ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:175
KZ-NBRK-003::6555, 6505 / 6510 / 6520 / 6525, 6580;KZ-NBRK-003;6555, 6505 / 6510 / 6520 / 6525, 6580;Возможные обязательства по гарантиям · по аккредитивам (четыре вида) · по форфейтинговым операциям;— (то же);ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:176
KZ-NBRK-003::Постановление № 105 от 24.12.2025;KZ-NBRK-003;Постановление № 105 от 24.12.2025;Действует с 01.01.2026. Исключены счета 1267, 2131, 2707, 4267, 5229 — ни один из них в формулах контуров не участвует;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:177
KZ-NBRK-240::Примечание ИЗПИ;KZ-NBRK-240;Примечание ИЗПИ;Постановление вводится в действие с 01.01.2020;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:190
KZ-NBRK-240::П. 2;KZ-NBRK-240;П. 2;Заменило Правила отнесения к числу системообразующих — постановление № 257 от 24.12.2014 (рег. № 10210) — и постановление № 32 от 28.01.2016 (рег. № 13304);npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:191
KZ-NBRK-272::Преамбула;KZ-NBRK-272;Преамбула;Издано в соответствии с законами о банках, о страховой деятельности, о рынке ценных бумаг и о госрегулировании финансового рынка. Преамбула — в редакции постановления Правления АРРФР от 12.08.2025 № 30;npl_limits/;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:197
KZ-NBRK-272::Действующая редакция;KZ-NBRK-272;Действующая редакция;Последнее изменение — постановление Правления АРРФР от 20.04.2026 № 79, вводится в действие с 01.05.2026;npa_registry;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:198
IFRS-9::5.4.2;IFRS-9;5.4.2;Возврат к начислению на валовую стоимость, если улучшение objectively related to an event occurring after применения 5.4.1(b). Единственный тест оздоровления в стандарте — связь с событием, а не выдержанный срок;dpd15_cure/FINDINGS_DPD15.md Н7;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:210
IFRS-9::5.5.7;IFRS-9;5.5.7;Если критерий SICR больше не выполняется — резерв shall вернуться к двенадцатимесячным ОКУ на текущую отчётную дату. Испытательного периода стандарт не вводит;dpd15_cure/FINDINGS_DPD15.md Н7;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:211
IFRS-9::5.5.11;IFRS-9;5.5.11;Опровержимая презумпция SICR при просрочке более 30 дней;dpd15_cure/, risk_appetite/BENCHMARK.md, provisions_method/;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:212
IFRS-9::B5.5.19;IFRS-9;B5.5.19;30 дней — the latest point, в который признаются пожизненные ОКУ;dpd15_cure/FINDINGS_DPD15.md Н7;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:213
IFRS-9::B5.5.20;IFRS-9;B5.5.20;Презумпция опровергается только при наличии обоснованной и подтверждаемой информации;dpd15_cure/FINDINGS_DPD15.md Н7;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:214
IFRS-9::B5.5.37;IFRS-9;B5.5.37;"Определение дефолта shall be consistent с используемым в управлении кредитным риском; презумпция 90 дней; определение применяется единообразно ко всем инструментам";dpd15_cure/FINDINGS_DPD15.md Н8, provisions_method/;ПОДТВЕРЖДЕНО;verified_clause_index;docs/analysis/npa_registry/CITED.md:215
VND-01::П. 8;VND-01;П. 8;Определения риск-аппетита и связанных понятий;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:224
VND-01::П. 19;VND-01;П. 19;Предложения по уровням выносятся на Совет директоров не реже одного раза в год;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:225
VND-01::П. 24;VND-01;П. 24;Уровни пересматриваются не реже одного раза в год;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:226
VND-01::П. 33;VND-01;П. 33;Уровни утверждает Совет директоров по представлению Правления через КРВК;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:227
VND-02::П. 3;VND-02;П. 3;Определения риск-аппетита и связанных понятий;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:233
VND-02::П. 11;VND-02;П. 11;Отчёт готовится не реже одного раза в год по форме № 50;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:234
VND-02::П. 12;VND-02;П. 12;Уровни утверждает Совет директоров по представлению Правления через КРВК;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:235
VND-02::Пп. 12-1 и 27;VND-02;Пп. 12-1 и 27;"Установлен общий порядок реакции на нарушение; конкретные меры и сроки в полученной редакции не определены";risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:236
VND-02::П. 14;VND-02;П. 14;"Зафиксировано намерение не иметь высокой концентрации; способ расчёта уровня топ-20 не установлен";risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:237
VND-02::П. 15;VND-02;П. 15;Уровень CoR устанавливается с учётом общих бюджетных показателей по финансированию;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:238
VND-02::Приложение 3;VND-02;Приложение 3;Содержит структурированный перечень существенных рисков и числовые уровни риск-аппетита;risk_appetite/DOCUMENT_MAP.md, risk_appetite/DECOMPOSITION.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:239
VND-02::Приложение 4;VND-02;Приложение 4;Содержит мастер-шкалу внутреннего кредитного рейтинга КБ и МСБ и уровень отсечения 33;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:240
VND-02::Приложение 6;VND-02;Приложение 6;SIPOC фиксирует отсутствие единой базы для отчёта: несколько источников и подразделений, автоматизация 30 % при цели 40 %;risk_appetite/FINDINGS_RA.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:241
VND-03::П. 8;VND-03;П. 8;Определения риск-аппетита и связанных понятий;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:247
VND-03::П. 10;VND-03;П. 10;Уровни утверждает Совет директоров по представлению Правления через КРВК;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:248
VND-03::П. 13 пп. 9;VND-03;П. 13 пп. 9;HLA рассчитывает БРМ;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:249
VND-03::П. 14;VND-03;П. 14;k1, k1-2, k2, LCR и NSFR рассчитывает ДБУиО и передаёт в БРМ;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:250
VND-03::П. 15 пп. 3;VND-03;П. 15 пп. 3;Финансовый департамент готовит годовой прогноз достаточности капитала по бюджету;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:251
VND-03::Приложение 1;VND-03;Приложение 1;"ACARI рассчитывается как среднее k1, k1-2 и k2; ALRI — как среднее LCR, HLA и NSFR";risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:252
VND-03::Приложение 2;VND-03;Приложение 2;Триггеры зон установлены по 8 метрикам из 25;risk_appetite/DOCUMENT_MAP.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:253
VND-04::П. 50-16;VND-04;П. 50-16;"Стресс по классу активов применяется, когда на класс приходится не менее 5 % активов; при меньшей доле используется пропорциональный выход";risk_appetite/FINDINGS_RA.md;ПОДТВЕРЖДЕНО;registered_vnd_analysis;docs/analysis/npa_registry/CITED.md:259
