# Реестр метрик витрины риска. Полочка (shelf) = нормативный документ.
# direction: up_bad — лимит сверху (плохо расти); down_bad — лимит снизу (плохо падать); grow_bad — триггер на рост ряда
# counter: single — разовое событие; 6M_consec — 6 последовательных месяцев; 3of6M — 3+ раза за 6 мес; 2of6M; 7M_monotonic — строгий рост 7 точек; 2Q_consec
# data_freq / monitor_freq: D W M Q Y (данные / контроль). Правило: monitor_freq не реже data_freq
# verified: yes — значение сверено с текстом документа в ходе работы; no — требует сверки перед использованием
shelf;code;name;formula;unit;direction;limit;signal;condition;counter;data_freq;monitor_freq;contour;owner;source;consequence;verified
N85PRUD;k2;Достаточность собственного капитала;СК / RWA;%;down_bad;10,5;11,5;+ буферы · для системно значимых 12,0 %;single;M;M;управленческий;ДБУиО;№ 85 гл. 3;SUP-MEAS;yes
N85PRUD;k3;Риск на одного заёмщика;требования / СК;коэф.;up_bad;0,25;0,20;;single;M;M;оперативный;БРМ;№ 85 гл. 4;SUP-MEAS;yes
N85PRUD;k3-1;Риск на связанного заёмщика;требования / СК;коэф.;up_bad;0,10;0,08;;single;M;M;оперативный;БРМ;№ 85 гл. 4;SUP-MEAS;yes
N85PRUD;LCR;Коэффициент покрытия ликвидности;ВЛА / чистый отток 30 дн.;коэф.;down_bad;0,9;1,0;с 01.01.2028 минимум 1,0;single;D;W;оперативный;Казначейство;№ 85 гл. 6;SUP-MEAS;yes
N85PRUD;NSFR;Нетто стабильное фондирование;доступное / требуемое;коэф.;down_bad;0,9;1,0;с 01.01.2028 минимум 1,0;single;M;M;оперативный;Казначейство;№ 85 гл. 6;SUP-MEAS;yes
N85PRUD;LEV;Коэффициент левериджа;капитал 1 ур. / активы;%;down_bad;;;значение сверить по гл. 9 № 85;single;M;M;управленческий;ДБУиО;№ 85 гл. 9;SUP-MEAS;no
N119;119-1;Достаточность основного капитала (k1);k1 против порога;%;down_bad;5,5;;+ надбавка SREP/AQR + буферы · ОСНОВНОЙ показатель;single;M;M;управленческий;ДБУиО;№ 119 прил. 1 стр. 1;REG-SUP;yes
N119;119-2;Снижение k1 за 3 месяца;падение k1;%;up_bad;30;20;при пересечении 1,75-кратного минимума · вспомогательный;single;M;M;управленческий;ДБУиО;№ 119 прил. 1 стр. 2;REG-SUP;yes
N119;119-3;Коэффициент левериджа;леверидж против норматива;п.п.;down_bad;2;3;порог = норматив + 2 п.п. · вспомогательный;single;M;M;управленческий;ДБУиО;№ 119 прил. 1 стр. 3;REG-SUP;yes
N119;119-4;Риск на одного заёмщика (k3);k3;%;up_bad;25;20;3 и более раза за 6 месяцев · вспомогательный;3of6M;M;M;оперативный;БРМ;№ 119 прил. 1 стр. 4;REG-SUP;yes
N119;119-5;Риск на связанного заёмщика (k3-1);k3-1;%;up_bad;10;8;3 и более раза за 6 месяцев · вспомогательный;3of6M;M;M;оперативный;БРМ;№ 119 прил. 1 стр. 5;REG-SUP;yes
N119;119-6;Капитал по итогам надзорного стресс-теста;k1 после стресса;%;down_bad;;;ниже минимального норматива k1 · вспомогательный;single;Y;Y;стресс;БРМ;№ 119 прил. 1 стр. 6;REG-SUP;yes
N119;119-7;Обязательства по инструментам TLAC;объём инструментов;%;down_bad;;;ниже минимума · 2+ раза за 3 мес — восстановление · вспомогательный;single;M;M;управленческий;ФД;№ 119 прил. 1 стр. 7;REG-SUP;yes
N119;119-8;Доля кредитов 3 стадии и ПСКО (разово);ДС3 = (стадия 3 + ПСКО) / СП;%;up_bad;15;12;только при КПП < 40 % · ОСНОВНОЙ показатель;single;M;M;оперативный;БРМ;№ 119 прил. 1 стр. 8;REG-SUP;yes
N119;119-9;ДС3 шесть последовательных месяцев;ДС3 по месяцам;%;up_bad;10;9;только при КПП < 40 % все 6 месяцев · ОСНОВНОЙ показатель;6M_consec;M;M;оперативный;БРМ;№ 119 п. 7 пп. 2, прил. 1 стр. 9;REG-SUP;yes
N119;119-10;Мгновенный рост ДС3 за месяц;прирост ДС3;п.п.;up_bad;4;3;только при КПП < 40 % · вспомогательный;single;M;M;оперативный;БРМ;№ 119 прил. 1 стр. 10;REG-SUP;yes
N119;119-11;Уплаченное вознаграждение к начисленному;уплачено / начислено;%;down_bad;75;80;вспомогательный;single;Q;Q;управленческий;ФД;№ 119 прил. 1 стр. 11;REG-SUP;yes
N119;119-12;Концентрация топ-20 к основному капиталу;сумма топ-20 / основной капитал;%;up_bad;200;170;только при доле стадии 3 в топ-20 > 10 % · вспомогательный;single;M;M;оперативный;БРМ;№ 119 прил. 1 стр. 12;REG-SUP;yes
N119;119-13;Коэффициент покрытия ликвидности;LCR против норматива;п.п.;down_bad;5;7;3+ раза за 6 мес при доле ВЛА < 40 % · ОСНОВНОЙ;3of6M;D;W;оперативный;Казначейство;№ 119 прил. 1 стр. 13;REG-SUP;yes
N119;119-14;Нетто стабильное фондирование;NSFR против норматива;коэф.;down_bad;;;ниже норматива · ОСНОВНОЙ;single;M;M;оперативный;Казначейство;№ 119 прил. 1 стр. 14;REG-SUP;yes
N119;119-15;Нетто-отток депозитной базы за неделю;изменение депозитов;%;up_bad;15;10;отток более 15 % за 1 неделю · вспомогательный;single;W;W;оперативный;Казначейство;№ 119 прил. 1 стр. 15;REG-SUP;yes
N119;119-16;Нетто-отток депозитной базы за месяц;изменение депозитов;%;up_bad;20;15;вспомогательный;single;M;M;оперативный;Казначейство;№ 119 прил. 1 стр. 16;REG-SUP;yes
N119;119-17;Нетто-отток депозитной базы за 3 месяца;изменение депозитов;%;up_bad;20;15;вспомогательный;single;M;M;оперативный;Казначейство;№ 119 прил. 1 стр. 17;REG-SUP;yes
N119;119-18;Снижение высоколиквидных активов за 3 месяца;изменение ВЛА;%;up_bad;30;25;вспомогательный;single;M;M;оперативный;Казначейство;№ 119 прил. 1 стр. 18;REG-SUP;yes
N119;119-19;ОВП по валютам стран с рейтингом от A;позиция / СК;%;up_bad;12,5;10;3 и более раза за 6 месяцев · вспомогательный;3of6M;D;M;оперативный;Казначейство;№ 119 прил. 1 стр. 19;REG-SUP;yes
N119;119-20;ОВП по валютам ниже A и стейблкоинам;позиция / СК;%;up_bad;5;4;3 и более раза за 6 месяцев · вспомогательный;3of6M;D;M;оперативный;Казначейство;№ 119 прил. 1 стр. 20;REG-SUP;yes
N119;119-21;Лимит валютной нетто-позиции;нетто-позиция / СК;%;up_bad;25;20;3 и более раза за 6 месяцев · вспомогательный;3of6M;D;M;оперативный;Казначейство;№ 119 прил. 1 стр. 21;REG-SUP;yes
N119;119-22;Открытая позиция по ПФИ в валюте;позиция / СК;%;up_bad;50;40;3 и более раза за 6 месяцев · вспомогательный;3of6M;D;M;оперативный;Казначейство;№ 119 прил. 1 стр. 22;REG-SUP;yes
N119;119-23;Доходность активов;НЧП с корректировкой ННПД / активы;%;down_bad;1;1,3;вспомогательный;single;Q;Q;управленческий;ФД;№ 119 прил. 1 стр. 23;REG-SUP;yes
N119;119-24;Процентный спред;доходность активов - стоимость обязательств;%;down_bad;2;2,5;при доле процентных доходов > 50 % · вспомогательный;single;M;M;управленческий;ФД;№ 119 прил. 1 стр. 24;REG-SUP;yes
N119;119-25;Операционные расходы к доходам (CIR);опер. расходы / опер. доходы;%;up_bad;100;90;два квартала подряд · вспомогательный;2Q_consec;Q;Q;управленческий;ФД;№ 119 прил. 1 стр. 25;REG-SUP;yes
N119;119-26;Понижение кредитного рейтинга;ступени рейтинговой шкалы;ступ.;up_bad;1;;при достижении BB+ и ниже · ОСНОВНОЙ показатель;single;E;E;оперативный;ФД;№ 119 прил. 1 стр. 26;REG-SUP;yes
VNDRA;RA-01;Топ-20 крупных заёмщиков к собственному капиталу;сумма топ-20 / СК;%;up_bad;95;88;сработал в Q2 2026 (101,50 %);single;W;W;РА-квартальный;БРМ;Прил. № 3 к Политике;RA-BREACH;yes
VNDRA;RA-02;Стоимость риска КБ и ПБ;CoR;%;up_bad;3;2,5;;single;Q;Q;РА-квартальный;БРМ;Прил. № 3 к Политике;RA-BREACH;yes
VNDRA;RA-03;Стоимость риска МСБ;CoR;%;up_bad;3,5;3;;single;Q;Q;РА-квартальный;БРМ;Прил. № 3 к Политике;RA-BREACH;yes
VNDRA;RA-04;EL по необеспеченному портфелю РБ;EL;%;up_bad;10;9;активна по динамике (9,1 сигмы);single;Q;Q;РА-квартальный;БРМ;Прил. № 3 к Политике;RA-BREACH;yes
VNDRA;RA-05;PD по необеспеченному портфелю РБ;PD;%;up_bad;15;13,5;;single;Q;Q;РА-квартальный;БРМ;Прил. № 3 к Политике;RA-BREACH;yes
VNDRA;RA-06;ACARI (агрегат достаточности капитала);среднее k1, k1-2, k2;%;down_bad;13;14;зона по прил. № 2 к Методике;single;Q;Q;РА-квартальный;ДБУиО;Прил. № 1-2 к Методике;RA-BREACH;yes
VNDRA;RA-07;ALRI (агрегат ликвидности);среднее LCR, HLA, NSFR;%;down_bad;85;90;зона по прил. № 2 к Методике;single;Q;Q;РА-квартальный;Казначейство;Прил. № 1-2 к Методике;RA-BREACH;yes
VNDRA;RA-08;НЗ к ссудному портфелю (предлагается);НЗ / СП;%;up_bad;9,5;8;ПРЕДЛОЖЕНИЕ: зеркало лимита 98-3 в заявлении РА;single;M;M;РА-квартальный;БРМ;предложение БРМ;RA-BREACH;no
